pattern,type
Current\s+CTC:\s*(?P<current_ctc>.+),ctc_current
Expected\s+CTC:\s*(?P<expected_ctc>.+),ctc_expected
(?P<amount>[\d.]+)\s*LPA,salary_lpa_inline
(?P<amount>[\d.]+)\s*Lakhs?\s+Per\s+Annum,salary_lpa_long
Joining\s+Date:\s*(?P<joining_date>.+),joining_date
Last\s+Working\s+Day:\s*(?P<last_working_day>.+),last_working_day
^(?P<section>Work\s+Experience|Professional\s+Experience|Employment\s+History|Career\s+History|Experience):?\s*$,section_experience
^(?P<section>Education|Academic\s+Background|Academic\s+History|Qualifications|Educational\s+Qualifications):?\s*$,section_education
^(?P<section>Skills|Technical\s+Skills|Core\s+Competencies|Key\s+Skills|Areas\s+of\s+Expertise):?\s*$,section_skills
^(?P<section>Certifications|Certificates|Credentials|Licences|Licenses|Professional\s+Development):?\s*$,section_certifications
^(?P<section>Projects|Key\s+Projects|Portfolio|Selected\s+Work):?\s*$,section_projects
^(?P<section>Awards|Honours|Honors|Achievements|Recognition|Accomplishments):?\s*$,section_awards
^(?P<section>Publications|Research|Papers|Thesis|Dissertation):?\s*$,section_publications
^(?P<section>Volunteer|Community\s+Service|Extracurricular|Activities):?\s*$,section_volunteer
^(?P<section>References|Referees):?\s*$,section_references
^(?P<section>Summary|Profile|Objective|About|Overview|Introduction):?\s*$,section_summary
^(?P<section>Languages|Language\s+Skills):?\s*$,section_languages
^(?P<section>Personal\s+Information|Personal\s+Details|Contact\s+Information|Contact\s+Details):?\s*$,section_personal
^(?P<section>Memberships|Affiliations|Professional\s+Memberships):?\s*$,section_memberships
^(?P<section>Internships|Internship\s+Experience):?\s*$,section_internships
^(?P<section>Training|Courses|Workshops|Seminars):?\s*$,section_training
